source_id,source_type,agency_id,agency_name,state,source_label,source_date,data_year,source_url,source_file_name,sha256,parser_name,parser_version,notes
sd_sddot_bid_tabs_2019_01_16,bid_tab,sd_sddot,South Dakota Department of Transportation,SD,SDDOT 2019-01-16 Completed Letting,2019-01-16,2019,https://apps.sd.gov/hc65bidletting/bidlettingscompletedetail.aspx?args=0F03BFE651C4DAE8B39A2A9C59B98D1DEA5F0C9DD66E76E1,20190116_detail.html,fe624bd9662af14f4f4c8d656b765811c292e7d31ff924bd0486940838850e8f,import_south_dakota_data.py,1.0.0,Bundle source containing the Abstract of Bids and Low Bid Final Report.
sd_sddot_bid_tabs_2019_01_23,bid_tab,sd_sddot,South Dakota Department of Transportation,SD,SDDOT 2019-01-23 Completed Letting,2019-01-23,2019,https://apps.sd.gov/hc65bidletting/bidlettingscompletedetail.aspx?args=0F03BFE651C4DAE826714AFCD67F490E75870D7C961B8DC4,20190123_detail.html,c10bd33e77b05207d750fd6e11fef447a7ea66ac05aed91cd14104767c94bb33,import_south_dakota_data.py,1.0.0,Bundle source containing the Abstract of Bids and Low Bid Final Report.
sd_sddot_bid_tabs_2019_02_06,bid_tab,sd_sddot,South Dakota Department of Transportation,SD,SDDOT 2019-02-06 Completed Letting,2019-02-06,2019,https://apps.sd.gov/hc65bidletting/bidlettingscompletedetail.aspx?args=0F03BFE651C4DAE8504A2FDFA7C3D721ED854C030ACF0CDC,20190206_detail.html,574b050f360b72c48d5746eee3fb6d9a9962337d2b5b5583983c03388922fc34,import_south_dakota_data.py,1.0.0,Bundle source containing the Abstract of Bids and Low Bid Final Report.
sd_sddot_bid_tabs_2019_02_20,bid_tab,sd_sddot,South Dakota Department of Transportation,SD,SDDOT 2019-02-20 Completed Letting,2019-02-20,2019,https://apps.sd.gov/hc65bidletting/bidlettingscompletedetail.aspx?args=0F03BFE651C4DAE89C2FE97E512DEE0885685A6AC7B65D6E,20190220_detail.html,d3129d61531b4fb026e92dc72a738a7828fede97845aba6814ab3fff49e38edc,import_south_dakota_data.py,1.0.0,Bundle source containing the Abstract of Bids and Low Bid Final Report.
sd_sddot_bid_tabs_2019_03_06,bid_tab,sd_sddot,South Dakota Department of Transportation,SD,SDDOT 2019-03-06 Completed Letting,2019-03-06,2019,https://apps.sd.gov/hc65bidletting/bidlettingscompletedetail.aspx?args=0F03BFE651C4DAE8963AE36248022795722B3701A548FAD2,20190306_detail.html,04aa7c867365207bc3f4933c8cacab0d0be1763f74e19157d03a1f85f49e7418,import_south_dakota_data.py,1.0.0,Bundle source containing the Abstract of Bids and Low Bid Final Report.
sd_sddot_bid_tabs_2019_03_20,bid_tab,sd_sddot,South Dakota Department of Transportation,SD,SDDOT 2019-03-20 Completed Letting,2019-03-20,2019,https://apps.sd.gov/hc65bidletting/bidlettingscompletedetail.aspx?args=0F03BFE651C4DAE8B51213BEECD0130BE97294FEFA3C4995,20190320_detail.html,76c5e509dc14e0b851f86dd43646ef7e46fc0b2b6f4840817ef8e9f6dfec7676,import_south_dakota_data.py,1.0.0,Bundle source containing the Abstract of Bids and Low Bid Final Report.
sd_sddot_bid_tabs_2019_03_27,bid_tab,sd_sddot,South Dakota Department of Transportation,SD,SDDOT 2019-03-27 Completed Letting,2019-03-27,2019,https://apps.sd.gov/hc65bidletting/bidlettingscompletedetail.aspx?args=0F03BFE651C4DAE86D16B0ECCDE6341AFD41A12E274FE75F,20190327_detail.html,f0012acae194e538bfa96396cccb7fe45038c849f59c0e37c2bf56b15be91b34,import_south_dakota_data.py,1.0.0,Bundle source containing the Abstract of Bids and Low Bid Final Report.
sd_sddot_bid_tabs_2019_04_03,bid_tab,sd_sddot,South Dakota Department of Transportation,SD,SDDOT 2019-04-03 Completed Letting,2019-04-03,2019,https://apps.sd.gov/hc65bidletting/bidlettingscompletedetail.aspx?args=0F03BFE651C4DAE8A21B59CF38D72A16EE0AB6841C70BF3B,20190403_detail.html,2122c802df9a9b44e0b69dd556ce4b514ac55b55bb573c1c7df3dc0c7504f605,import_south_dakota_data.py,1.0.0,Bundle source containing the Abstract of Bids and Low Bid Final Report.
sd_sddot_bid_tabs_2019_04_10,bid_tab,sd_sddot,South Dakota Department of Transportation,SD,SDDOT 2019-04-10 Completed Letting,2019-04-10,2019,https://apps.sd.gov/hc65bidletting/bidlettingscompletedetail.aspx?args=0F03BFE651C4DAE88BFE8FF9638776010E1538777056C53D,20190410_detail.html,8e35c3a9ffb856c6babaf53a0cae41788c90ab1850f5a764427da197bb9474e5,import_south_dakota_data.py,1.0.0,Bundle source containing the Abstract of Bids and Low Bid Final Report.
sd_sddot_bid_tabs_2019_04_17,bid_tab,sd_sddot,South Dakota Department of Transportation,SD,SDDOT 2019-04-17 Completed Letting,2019-04-17,2019,https://apps.sd.gov/hc65bidletting/bidlettingscompletedetail.aspx?args=0F03BFE651C4DAE8BFB9EFE695DF6F3076A4DFB9F64D2A06,20190417_detail.html,f65ade1f9d808da9248be893f5f2ceeb0a5363d7f2414d40ed37c565ae69369e,import_south_dakota_data.py,1.0.0,Bundle source containing the Abstract of Bids and Low Bid Final Report.
